vendor,outcome,targetShortCode,Competency (Standard Code),targetDescription,n_mastery
,,H.10.2.C Analyze [TC],,"Analyze the complexity of events throughout United States history. For example: The Civil Rights Movement (e.g., Double V Campaign, the Voting Rights Act of 1965, and the Stonewall Riots); migration, immigration, and displacement (e.g., immigration and citizenship legislation, Japanese American incarceration, and debates over tribal sovereignty); landmark court cases (e.g., Keyes v. School District #1 Denver, Brown v. Board of Education, and Obergefell v. Hodges), and the war on terror (e.g., 9/11, Afghanistan and Iraq wars, Middle Eastern discrimination, and the evolution of U.S. counterterrorism efforts).",
,,H.10.2.D Examine & Evaluate [TC],,"Examine and evaluate issues of unity and diversity from Reconstruction to present. For example: The systemic impact of racism and nativism (e.g., Jim Crow, affirmative action, and mass incarceration), the definition and role of patriotism, expansion and limitations of rights, and the role of religion.",
,,H.10.2.E Investigate [TC],,"Investigate the historical development and impact of major scientific and technological innovations in the Industrial Age, the Space Age, and the Digital Age. For example: Scientific innovations by diverse individuals, creation of mass production/assembly line process, creation of the atomic bomb, NASA, and the introduction of mass media and the Internet.",
,,H.10.2.F Evaluate [TC],,"Evaluate the historical development and impact of political thought, theory, and actions. For example: Shifts in the platforms of political parties, expansion and limitations of suffrage, and the impact of various reform and socio-cultural movements.",
,,H.10.2.G Analyze [TC],,"Analyze how opposing perspectives, compromise, and cooperation have shaped national unity and diversity. For example: The rights and contributions of diverse groups and individuals, including African Americans, Latinos, Asian Americans, Indigenous Peoples, LGBTQ individuals, women, immigrants, individuals with disabilities, and ethnic and religious minorities, and the role of organizations and government in advancing these rights (e.g., NAACP, American Indian Movement, and United Farm Workers).",
,,H.10.2.H Analyze & Evaluate [TC],,"Analyze and evaluate ideas critical to the understanding of American history. Including but not limited to: populism, progressivism, isolationism, imperialism, capitalism, racism, extremism, nationalism, patriotism, anti-communism, environmentalism, liberalism, fundamentalism, and conservatism.",
,,H.10.2.I Describe & Analyze [TC],,"Describe and analyze the historical development and impact of the arts and literature on the culture of the United States. Including but not limited to: the writings of the Muckrakers, political cartoons, Americana, the Harlem Renaissance, the Lost Generation, Jazz, Rock and Roll, protest songs and American literature.",
,,H.10.2.J Examine & Evaluate [TC],,"Examine and evaluate how the United States was involved in and responded to international events over the course of history. Including but not limited to: the World Wars, the Holocaust, the Nuremberg trials, Cold War policies, Berlin Airlift, Korean War, Vietnam War, and the genocides in Bosnia and Darfur.",
,,10.C.1.A Research & Discuss [TC],,Research and discuss current issues to participate in civil discourse.,
,,10.C.1.B Describe & Evaluate [TC],,Describe and evaluate the effectiveness and acceptability of a variety of methods of civic participation that individuals and groups may use to shape policy at various levels of government.,
,,10.C.1.C Explain [TC],,"Explain the roles and influence of individuals, groups, and the press, as checks on governmental practices. For example: Direct contact with elected officials, participation in civic organizations, use of social media, and attendance at local governance meetings.",
,,10.C.1.D Evaluate [TC],,"Evaluate traditional and non-traditional types of media (both historic and modern), including social media for reliability, credibility, and how they may influence government policy and public opinion.",
,,10.C.1.E Engage [TC],,"Engage as active community members with local, state, tribal, or federal levels of government on policy issues or for individual or group rights.",
,,10.C.2.A Describe [TC],,"Describe the origins, purposes, and limitations of government, and include the contribution of key philosophers and American historical figures of diverse backgrounds.",
,,10.C.2.B Identify [TC],,"Identify the structure, function, and roles of current members of local, state, and national governments. Including but not limited to: understanding the three branches of government at each level of government.",
,,10.C.2.C Analyze [TC],,Analyze the processes for amending the Constitutions of Colorado and the United States and the significant changes that have occurred to those documents including both the Colorado and the United States’ Bills of Rights.,
,,10.C.2.D Explain [TC],,"Explain the principles of a democracy and analyze how competing democratic values are balanced. For example: Freedom and security, individual rights and common good, general welfare, and rights and responsibilities.",
,,10.C.2.E Describe [TC],,"Describe the role and development of the founding documents of Colorado and the United States from their inception to modern day. Including but not limited to: the Great Law of Peace, the Declaration of Independence, the Constitutions of the United States and Colorado, the Federalist Papers, and the Bill of Rights.",
,,10.C.2.F Evaluate [TC],,"Evaluate the role of the judicial system in protecting life, liberty, and property for all persons in the United States.",
,,10.C.2.G Understand [TC],,"Understand the structure of the American judicial system, the process of judicial appointments and key court decisions, in both Colorado and the United States, that affect the system of checks and balances and interactions of the local, state, tribal, and federal systems. Including but not limited to: significant Colorado court decisions such as Francisco Maestas et al. v. George H. Shone (1914), U.S. Term Limits, Inc. v. Thornton (1995), Romer v. Evans (1996), Colorado Union of Taxpayers Found. v. City of Aspen (2018); and landmark U.S. Supreme Court Cases such as Korematsu v. United States (1944), Tinker v. Des Moines Independent Community School District (1969).",
,,10.C.2.H Analyze [TC],,Analyze how current global issues impact American policy.,
,,10.C.2.I Compare & Contrast [TC],,"Compare and contrast how other systems of government function. For example: Authoritarian regimes, parliamentary, and other systems.",
,,10.C.2.J Describe [TC],,Describe the relationship of tribal governments with state and federal governments. Including but not limited to: The Ute Mountain Ute and Southern Ute tribal governments and the State of Colorado.,
,,10.C.3.A Describe [TC],,"Describe how members of a civil society can impact public policy on local, state, national, or international issues by exercising their civic rights and responsibilities. For example: Participation in primaries and general elections, contact with elected officials, petitions, protesting, attending public forums, or through initiatives and referenda.",
,,10.C.3.B Evaluate [TC],,"Evaluate opportunities for people to participate in and influence government through interest groups and social movements. For example: The tactics and strategies of nonviolent resistance championed by Dr. Martin Luther King in response to the Jim Crow laws of that era, or the Indigenous land rights movement.",
,,10.C.3.C Analyze [TC],,"Analyze the impact of state and federal policies on campaigns and elections. For example: PACs, campaign finance, gerrymandering/redistricting, state and federal voting laws and regulations, Colorado’s voting laws, and the Federal Election Commission.",
,,10.C.3.D Analyze [TC],,"Analyze how individual rights have been affected over time by court decisions, legislative debates at various levels of government, or by the advocacy of individuals and groups.",
,,10.C.3.E Examine [TC],,Examine how people in other systems of government exercise their civic rights and responsibilities.,
,,10.C.3.F Examine [TC],,Examine the advantages and disadvantages of a two-party system or a multiparty system within a democratic government.,
